Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/4thline/cling,0ca10d5e73bdc8062eeffad57d67dd8ee260379c,core,org.fourthline.cling.test.gena.EventXMLProcessingTest.writeReadRequest,ID,,,
https://github.com/4thline/cling,0ca10d5e73bdc8062eeffad57d67dd8ee260379c,core,org.fourthline.cling.test.gena.EventXMLProcessingTest.writeReadRequestPull,ID,,,
https://github.com/4thline/cling,0ca10d5e73bdc8062eeffad57d67dd8ee260379c,core,org.fourthline.cling.test.gena.EventXMLProcessingTest.writeReadRequestRecovering,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.batch.audio.ExtractMfccFeatureBatchOpTest.testExtractMfccFeatureBatchOp,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.batch.audio.ReadAudioToTensorBatchOpTest.testReadAudioToTensorOp,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.batch.evaluation.EvalClusterBatchOpTest.testNoVector,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.batch.feature.MultiHotTest.testMultiHot,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.batch.recommendation.RecommendationRankingBatchOpTest.test,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.evaluation.ClusterEvaluationUtilTest.getBasicClusterStatisticsTest,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.nlp.DocWordSplitCountTest.test,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.similarity.dataConverter.MinHashModelDataConverterTest.testJaccard,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.similarity.dataConverter.MinHashModelDataConverterTest.testMinHash,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.statistics.ChiSquareTestTest.testChisqSelectorMap,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.common.statistics.CrosstabTest.merge,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.local.evaluation.EvalClusterLocalOpTest.testNoVector,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.stream.image.ReadImageToTensorStreamOpTest.testReadImageToTensorStreamOp,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.stream.image.WriteTensorToImageStreamOpTest.testWriteTensorToImageStreamOp,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.operator.stream.recommendation.RecommendationRankingStreamOpTest.test,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.pipeline.feature.OneHotTest.pipelineTest,ID,,,
https://github.com/alibaba/Alink,edb543ee05260a1dd314b11384d918fa1622d9c1,core,com.alibaba.alink.pipeline.recommendation.RecommendationRankingTest.test,ID,,,
https://github.com/alibaba/canal,cda330e49e9db70c86d241e19ee649b8a39c6b98,dbsync,com.taobao.tddl.dbsync.binlog.JsonDiffConversionTest.print_json_diffInputNotNullPositiveNotNullZeroNotNullOutputIllegalArgumentException,ID,,,
